1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
210,P80002801,Maryland,MD,11/4/08,John,McCain,"McCain, John",,R,"959,862",,36.47%,,,,
211,P20000527,Maryland,MD,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"14,713",,0.56%,,,,
212,P80005580,Maryland,MD,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"9,842",,0.37%,,,,
213,n/a,Maryland,MD,11/4/08,,Scattered,Scattered ,,W,"9,043",,0.34%,,,,
214,P80004930,Maryland,MD,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"4,747",,0.18%,,,,
215,P80005499,Maryland,MD,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"3,760",,0.14%,,,,
216,P60003076,Maryland,MD,11/4/08,Alan,Keyes,"Keyes, Alan",,W,103,,0.00%,,,,
217,P80003528,Maryland,MD,11/4/08,Donald K.,Allen,"Allen, Donald K.",,W,17,,0.00%,,,,
218,n/a,Maryland,MD,11/4/08,Blaine,Taylor,"Taylor, Blaine",,W,12,,0.00%,,,,
219,P80005275,Maryland,MD,11/4/08,Brian,Moore,"Moore, Brian",,W,10,,0.00%,,,,
220,P00003962,Maryland,MD,11/4/08,Joe,Schriner,"Schriner, Joe",,W,8,,0.00%,,,,
221,n/a,Maryland,MD,11/4/08,Lynne A.,Starr,"Starr, Lynne A.",,W,4,,0.00%,,,,
222,n/a,Maryland,MD,11/4/08,RaeDeen R.,Heupel,"Heupel, RaeDeen R.",,W,2,,0.00%,,,,
223,n/a,Maryland,MD,11/4/08,Frank,Moore,"Moore, Frank",,W,2,,0.00%,,,,
224,P80004849,Maryland,MD,11/4/08,Jose M.,Aparicio,"Aparicio, Jose M.",,W,1,,0.00%,,,,
225,n/a,Maryland,MD,11/4/08,"Theodis (Ted), Sr.",Brown,"Brown, Theodis (Ted), Sr.",,W,1,,0.00%,,,,
226,n/a,Maryland,MD,11/4/08,Ronald G.,Hobbs,"Hobbs, Ronald G.",,W,1,,0.00%,,,,
227,n/a,Maryland,MD,11/4/08,Charles,Jay,"Jay, Charles",,W,1,,0.00%,,,,
228,n/a,Maryland,MD,11/4/08,,,,Total State Votes: ,,"2,631,596","2,631,596",,,,,
229,P80003338,Massachusetts,MA,11/4/08,Barack,Obama,"Obama, Barack",,D,"1,904,097",,61.80%,,,,
230,P80002801,Massachusetts,MA,11/4/08,John,McCain,"McCain, John",,R,"1,108,854",,35.99%,,,,
231,P20000527,Massachusetts,MA,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"28,841",,0.94%,,,,
232,n/a,Massachusetts,MA,11/4/08,,Scattered,Scattered ,,W,"14,483",,0.47%,,,,
